oneid,date,event_name,model,version,battery_capacity,battery_life_screen_on_duration,battery_life_screen_off_duration,battery_life_screen_off_at_night,battery_charge_full,battery_life_screen_off_dry,battery_life_screen_off_at_night_dry,battery_total_consumption,battery_life_comprehensive_d,battery_life_screen_off_at_night_d,battery_life_screen_on_d,battery_charging_duration,battery_on_battery_duration
11c27u31f6275w73e5m3bt66335a7o6f12865973f9,20221101,battery_life,M2102K1AC,22.9.29,5000,30429,6150,163,4246,854240,88400,9123080,22,194,19,11270,75087
11a4kb3ca51zat9m071047x9ddq3837764bc49ea3s,20221101,battery_life,M2011K2C,22.8.23,4600,28371,14146,6,3781,340290,37100,6685764,29,8,20,0,0
6cdf9p3cac8f5433e0624t7453es701u98e301u3i8,20221101,battery_life,M2102K1C,22.10.26,5000,10369,0,0,0,0,0,4071565,7,0,7,28990,57410
c8c3dbb0d0olu72e4c25f9597245p2637yv03e8162,20221101,battery_life,M2011K2C,22.10.26,4600,30339,12274,121,3353,516975,110730,2548837,42,166,31,7130,60380
vb7o3839ad57217b05h3ptufb18u01x25bfaf2n5f5,20221101,battery_life,M2011K2C,22.10.26,4600,24397,3346,0,2799,405,0,447198,285,0,251,15864,41558
vb7o3839ad57217b05h3ptufb18u01x25bfaf2n5f5,20221101,battery_life,M2011K2C,22.10.26,4600,1333,622,0,2799,112,0,447198,16058,0,13687,15864,41558
a4k638pwdb7f0bo4s3b161aebi03396378abab4w9j,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,283585,286878,841613,4749,1808,138,36631,62582,888152,31102,25281,481197
d650aecdf5ek1b57b8b9rqcc9d751z8tbi10jbd28d,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,40820,27814,46566,4782,318,16,21090,28107,48750,17146,9136,77099
d650aecdf5ek1b57b8b9rqcc9d751z8tbi10jbd28d,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,7967,0,65670,4782,0,4,21090,4556,68750,4527,9136,77099
1fac489087844tfs226uf2eb5c84cjcd33185f057d,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,52823,1924,212309,4779,79,6,18803,14650,222500,14131,31161,55238
f38b3g1udfbafcf164df6m3pdq30kn5611466d57db,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,44518,5085,155980,5305,289,746,17150,21319,152861,13958,13212,73246
45b15bbezb0f4ekduc65e50b51bcbo57na4ad96cub,20221101,battery_life,22061218C,V13.1.21.0.SLRCNXM,4500,26928,16929,83526,4315,1026,14,16890,11843,87107,7704,40303,44995
9b61fzd2r54idatja4d611e82a445cedab2028cf92,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,54754,9147,0,4798,275,0,15975,20036,0,17469,22349,64050
p6ws347x2cfnc89a53fj8b7891187e0o6z6667a57f,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,53744,39,0,4803,1,0,15434,17429,0,17417,32335,53867
483foendegf2cd78a0ee51ac0bwm9k5ch09eee735c,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,48391,3815,420055,4596,203,304,15401,25613,433404,16317,7302,79057
s690h4712b332dvk98fae3t852q95de557lffa21bc,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,40580,4284,314871,4557,255,397,15380,23179,325818,13891,14877,71272
dfryge3ae55a6yb1a75d629u531bd0942e88f93203,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,41477,3349,87097,4484,261,562,15085,18267,93754,14471,18916,55154
f1077fdw1ebbza043a05iyafw7c6a63sndfd80cc49,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,49133,5870,1516661,4787,94,60,14388,25651,1546666,17318,12483,73830
8391s4dkxed00e8383a3af0b9edal7a1ge2bm8clbb,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,59766,7876,0,4605,110,0,14349,23573,0,20989,18627,67678
2xj776gd60cccyc35te389ac4b0d62f1ee2bb6m93g,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,41351,14596,345505,4913,320,346,14333,28224,350838,15263,5140,81183
aqvec12bn06juz646v642s76beaee090abbc2055ca,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,50365,3923,0,4761,88,0,14146,19230,0,17952,31936,54463
ebe622d4w1dzfc77fcc270c9be0iyc8b4f0c67378a,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,39112,14977,283519,4769,405,154,14143,44734,297564,30035,8411,77986
ebe622d4w1dzfc77fcc270c9be0iyc8b4f0c67378a,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,697,284,0,4769,12,0,14143,714,0,508,8411,77986
139cm3fqd6e3si1be2j78890782a22a3a925688840,20221101,battery_life,M2102K1C,22.10.26,5000,35589,6723,0,4176,277,0,14122,11865,0,10137,6040,50202
0bc269b68t8f413244b5e1d90044dfbzz538af318c,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,27145,20700,0,4869,1369,0,14078,17053,0,10721,12842,48051
a9e3e76e96eq46uf4111d2f3ack0030ie7ke8l2sf1,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,48918,26280,337501,4683,197,21,14053,27335,355714,17711,9381,76961
gd7l5d037317ldel6726d52e4c40e5w8ee31b4366e,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,50134,16241,1626988,4688,439,21,13973,26437,1720952,18623,12430,73969
adfrb848fmff6cadb5b5k8b4cd2b4d31abacdwc5c8,20221101,battery_life,M2102K1AC,22.10.26,5000,38544,3545,53783,4196,173,258,13877,16460,62422,14455,19364,67157
7q70268aee6w6bbd6968a1aaf680bf93iea76381c0,20221101,battery_life,M2012K11AC,22.10.12,4520,42932,3276,50687,4067,321,11,13854,18059,50541,17227,39400,46870
fa2qeqd167e819710974564927p5m6c818d8a6v3x0,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,52329,14709,35461,4582,340,5,13779,24370,38000,19501,19254,67145
5e5dbb35edwe72ae1524fk00a5f112304c09pbv636,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,49629,21327,46042,4630,229,7,13767,25932,49285,18438,14910,71489
b06bwc52433f44d6cia1a3es079t16f38e872981lq,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,50153,2880,297600,4698,62,4,13738,19442,310000,18389,32610,53719
8511f5494b559onqn88f1ibq6e0d708e72zcbk1874,20221101,battery_life,M2105K81AC,V13.1.22.10.17.DEV,8600,45294,10862,129607,7530,183,6,13719,35313,141900,28830,30332,56586
8u78703eded3m112d1e0db3ce33961y3f8020f9zk3,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,46842,7525,811662,4715,152,144,13535,29240,854201,17733,6912,79222
d2aqtcc01cv877a3ida997352d00akc467e5a7a074,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,52094,684,0,4781,10,0,13503,19553,0,19314,32513,53886
5677o50ets04s7w77ed111ni8d9d5c3fe531e80f2a,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,57187,17172,222961,4664,241,41,13447,27323,239024,20895,8798,73490
3rads4e54e417ucz669023e7a9ce4f13ut369addbb,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,39500,34113,375529,4724,207,23,13444,28073,379782,14971,6742,79657
a7b8da691bcgl1021f6990277k354b824a63954236,20221101,battery_life,M2102K1C,22.10.19,5000,44771,3117,2122,3938,276,39,13336,18121,2692,17347,34163,52236
1a00dlx75a51e4f8v1bbiv81bc6ra8abfv2e01f3bc,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,54649,8294,470431,4741,189,181,13146,31193,490441,21746,4214,82185
5bwq5755444i9d3f9t5c11dyfe1ycmb721f58c17cb,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,62715,2078,104434,4738,110,65,13068,25424,111384,24398,19793,66561
383836bmefe19h6z0e3tpe8ce8473e8dcw654bdd23,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,47444,14283,148806,4770,207,2,13055,23712,157500,18503,23714,62884
2aw262135d74gdb9ezdeb438e9jx724lh9b18e85ad,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,52865,13780,501930,4728,127,58,13005,28015,524482,20658,13328,73010
005919b2361db5l5aa3bv6i630d825bd9eztb47c0f,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,67009,2674,0,4537,145,0,12973,26877,0,26138,16582,69817
da1bf8438adc791f0tft089f1k5erfe5a50ob23qc6,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,44460,24596,389404,5128,167,43,12942,27974,381395,17477,13933,72429
dcb2l66pcfldz8ty99e31bfc94caeedebv600ea1e2,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,56509,2014,66439,4804,50,378,12916,24695,68664,22654,22198,64020
58805bmcx2dp0j41k51u0c681798bf501859e45bf4,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,50531,4059,131181,4610,97,18,12877,21448,138611,19851,30936,55343
aj108db8f03d940fo929d9a7720zbez6b3ff088866,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,45132,7466,511811,4886,343,102,12832,24851,523431,18367,22392,64001
aj108db8f03d940fo929d9a7720zbez6b3ff088866,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,69,135,0,4886,7,0,12832,39230,0,18157,22392,64001
bud52dse6242c89ccb21kk8279dufz51943c123c20,20221101,battery_life,M2105K81AC,V13.1.22.10.24.DEV,8600,17515,38525,954442,7751,362,193,12805,53467,1050313,12296,6725,79671
8r06atca8q7346wdb9203ja164d0c46b8764f36c91,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,51487,6224,166806,4764,205,133,12771,24848,172142,21108,22136,63981
dsdzdbma323b8201238ddh0e1da8qd6h92d00b8l0a,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,50430,12057,226111,4890,221,46,12737,25761,231956,20541,18757,67642
sdq47ve2evcd44a944d2d65g10j20f3d8f44w469bf,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,50902,13397,31937,4690,453,40,12721,25508,33625,20924,21524,64876
9a669e76bdb38d36efcijn2ela62rb4uo5767e2222,20221101,battery_life,M2012K11AC,22.10.26,4520,58157,6925,369195,4256,140,75,12662,25762,414393,21182,13635,72764
18aqcb3f600dd2ebr7pyebf22zc8e8rc2rz88l8859,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,41811,14422,145515,5168,358,602,12632,29695,155365,17932,11360,75065
6d5kdl22d0c5970jn1gb2c2b8h5b8i0a1940558460,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,47087,10876,0,4718,234,0,12620,23030,0,19063,28052,58347
gftvcp58e1i7a07a9f062kd4ebe9c5e51d64431906,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,44043,2647,0,4649,68,0,12607,18524,0,17569,9688,46719
a97g2d44a660124c5708d3b78b7f4cajd05a070a7a,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,47561,3366,0,4493,66,0,12605,20249,0,19010,33947,52359
a4na8cc6187d72w33pf18369f1e5c671cdu7d1eejx,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,45273,9581,658205,4862,543,102,12501,28155,693578,19499,16367,70032
7biafz20mb8399e8w0g2f31felyvu3e2e97e533910,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,45258,9183,466990,4873,487,248,12492,31503,483427,19322,7490,78677
js017b9wegd3f4ld6pd82vb28e4ffa285b84288e74,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,37303,3336,0,4603,84,0,12479,22744,0,21075,6350,80049
js017b9wegd3f4ld6pd82vb28e4ffa285b84288e74,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,15219,120,399787,4603,6,274,12479,55704,431642,23631,6350,80049
mge83a2bd5kh682571d8702uq63b6me222d81d5834,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,60796,33,136108,4728,2,12,12455,24487,140000,24367,16576,69780
gd487z0fbnn5f7dpfq85hym7w80e9e5c899d37ded5,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,22908,29918,359841,4829,947,381,12440,32686,371430,10335,4146,81852
g3ffeoqb9514vpnhubiea3ee60e5d4968664232617,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,64626,2773,500904,4794,71,123,12432,32349,524837,26444,5674,80540
fwfp0waa574d15b2mr42g17ic6ftbf1a05e07a42f0,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,54942,3357,841059,4843,116,7,12408,24022,881428,22392,26247,60413
10a14lfa8bdeh831509i5b852v9c393e338fe712ce,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,44113,11181,1214461,4653,282,66,12396,29254,1254090,18485,13506,72775
11070e4ac5axb18a7rc1c343ec3jad2f4bf3b401cc,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,52210,9089,501968,4842,233,115,12339,29803,518347,21870,10066,73536
7306c4dfdp917q2lfb3094cabh96c69m7861a6b0bc,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,40987,3217,1952968,4843,20,60,12155,28372,2061833,16978,16294,69908
525e64b2defkwxff8g1g5dbbtcp94fzpc8b8dc5062,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,51553,9854,103259,4610,150,65,12092,26026,110461,21737,10283,63028
fqsme96d1z0e3exo4ecpf97a4e3789aed319r3620a,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,41412,6184,73594,4910,373,76,12092,20967,77500,18517,34545,51589
49e937i83dc473cf5bc1p610560z81q0z7b82195f8,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,53310,3701,501616,4889,131,210,12081,32676,512166,22832,7098,79084
a3o7b154er8e0ca4148c0u55t4mj5e1ad5f46866eb,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,55982,10145,232121,4721,235,155,12042,31287,241290,24611,10079,76262
c97v6fa6bd489aaed31k9e594ccba7e1gcef0a2d0c,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,40474,13726,1087519,4831,441,64,12030,28907,1177734,17632,15654,70736
15o5avf465see7e10aeatc2c2a69673c0u36c6c4fl,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,65190,9806,61831,4630,258,56,11959,31742,67857,28053,9653,76746
d3n7b11dd1el53b440yc014acez9d2u4e082b33bq4,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,55521,3321,544685,4727,47,167,11958,32585,568802,23666,8284,78018
9160k7e0997b89a98eeba3a587a556b63tanhbtnwf,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,44925,4733,187710,4633,330,425,11941,28154,197423,20339,19745,66653
mjsgm309b2ee76244be15ff52z6c44cad978f400fc,20221101,battery_life,M2102K1C,22.10.26,5000,49769,1469,50118,4217,212,506,11933,24294,58577,22526,13809,72590
08y7ab54fr6f5q35fz48s9l520c0ec6dbcec58e954,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,37540,18791,85347,4652,1277,768,11931,29664,91751,19104,15492,70891
pge9538eeb00eccod2ca49na69e357ac51cc852aly,20221101,battery_life,2209129SC,V13.0.3.0.SLLCNXM,4500,44525,21308,244830,4204,365,141,11894,28027,252287,17679,11878,74499
4y7e5taaace0y71m6a982eb0oze85019044f382089,20221101,battery_life,2209129SC,V13.0.1.0.SLLCNXM,4500,42238,52786,19781,4354,881,5324,11868,44076,20445,31859,13437,107913
8l19duaepfd75bm8d8l99b659gd2825d123f17a13d,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,69822,5226,0,4859,91,0,11866,31713,0,29734,11065,75334
8aao7t39f3b061081de7we222dc84e097jc8f79b28,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,53340,11929,287208,4762,325,228,11863,33210,295482,23597,7549,78851
7a9e966ca9k7eoee64fk1ic00e5a40fb8w587243s0,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,48523,12267,0,4558,463,0,11839,25706,0,21355,9170,74428
c3bg3237ialcc3272pgv57af73f3ce10258ca716ff,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,54405,19534,388429,4600,2302,6,11803,31573,420833,28691,11797,74602
f4c278l34182eb5164a3b6b8d3bb4fedc4s41atws1,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,55369,4981,225938,4726,264,14,11777,25958,233214,24132,25123,61276
4ymd0da8eem9d89d87fk5d5cxea3b7483ec0081f91,20221101,battery_life,M2006J10C,22.10.14,4500,29032,19829,44185,3970,394,175,11767,19356,45077,11666,28741,57476
v3abf226dl3h778z303o0b54c740xp04a0b78448c9,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,42478,10938,2462669,4850,363,43,11754,31934,2506279,18742,11232,75159
yae17feew8be4nbfe6nedd614c5a10rz7z80784fco,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,50482,24030,0,4674,254,0,11750,31715,0,21962,11848,74576
d0335e168428f81b1a5ne459i94ecb9a853e1u5qjv,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,54535,9685,997562,4373,105,49,11748,31926,1073571,23606,10564,75835
410ra66eaetdbae7aeol9509lc781czaoafcbjeg6p,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,68836,238,0,4169,6,0,11736,29435,0,29349,16804,69595
buae3ddq20416q009b1bc4d91btc684678e4b342c1,20221101,battery_life,22081212C,V13.1.22.10.24.DEV,5000,3917,400,0,4700,13,0,11694,23824,0,21931,15983,70416
buae3ddq20416q009b1bc4d91btc684678e4b342c1,20221101,battery_life,22081212C,V13.1.22.10.24.DEV,5000,54796,10886,65128,4700,333,4,11694,30629,70000,26359,15983,70416
7a872fu57a4q6e00121e6559ce9f64a4c90a3aa8bv,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,41682,18003,211032,4696,599,266,11655,30690,217424,19399,11780,74520
1cx5f23a38lcaa21d1s17fzbc0ai408e2d1d41e803,20221101,battery_life,M2102K1C,22.10.26,5000,40432,12122,11237,4243,1020,456,11636,24632,13410,21415,22662,63737
dae2aca8d75w80246vb70a5b44240c9rgb6fa44c27,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,36450,7066,89190,4685,353,911,11582,26303,92025,17876,25061,61338
1ced1c787mo2dcu0vta8bc2pcb6f03da0be82b947d,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,46759,9471,484432,4580,547,187,11580,33215,524278,21886,9311,76941
6f545429zg18adoc66tc532a6fw8420jad3cfpbqxd,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,25052,0,0,4582,0,0,11580,17550,0,17550,11550,74849
6f545429zg18adoc66tc532a6fw8420jad3cfpbqxd,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,23937,23620,153478,4582,233,45,11580,55484,162000,28916,11550,74849
1715f5015wfdd525foq8w347u2xbsuc82beb7ba618,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,51187,4779,668261,4758,203,160,11560,29263,702250,19628,5769,72524
1ab0434yt96w584vdhe2ap1efbed99464c1d61a5a4,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,39862,17486,0,4773,547,0,11550,25044,0,18281,28329,57968
37f9dqd1fhf86v43e19c6cbb9c5k3197enbhf747f3,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,38015,9418,125419,4697,447,5,11542,30963,133000,26293,8266,77233
37f9dqd1fhf86v43e19c6cbb9c5k3197enbhf747f3,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,3710,4233,0,4697,114,0,11542,10456,0,5035,8266,77233
dibe0647a774d2a78lhfre7c988beecao5b9einee3,20221101,battery_life,21121210C,V13.1.22.10.25.DEV,4700,33586,2682,3979,3930,400,39,11538,15149,4820,14582,34319,52194
dibe0647a774d2a78lhfre7c988beecao5b9einee3,20221101,battery_life,21121210C,V13.1.22.10.25.DEV,4700,25,105,0,3930,41,0,11538,7543,0,2937,34319,52194
2h4epe68fadah25v7ec32f1b885dgec18bbf7868f8,20221101,battery_life,2209129SC,V13.0.3.0.SLLCNXM,4500,34567,35749,0,4189,518,0,11536,27463,0,14136,14969,71430
f2ffrdcic9aei48p45bz85ag9ad3aeresi6aea48f8,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,41338,13033,0,4641,468,0,11532,23778,0,18849,28602,57759
06dg0i77972904gakj906eq1z6n1bbcfd38bef60ce,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,3165,0,0,4568,0,0,11512,13111,0,13111,32155,54155
06dg0i77972904gakj906eq1z6n1bbcfd38bef60ce,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,39192,11152,62721,4568,777,4,11512,24724,67500,20822,32155,54155
pa8kdb9a8e6h6989cbp53949587b9lj1330bf874ae,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,50984,8748,256024,4790,331,285,11502,32917,275000,23520,10777,75622
c7rfdc85af8f9272d3152lc5edp27e941yfbaebk85,20221101,battery_life,22081212C,V13.0.7.0.SLFCNXM,5000,62844,1811,55663,4814,51,160,11490,23742,59406,22761,7943,54539
